layer	species	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	temp	cont	light
H	Hypochaeris uniflora						1																								2	3	4
H	Impatiens noli-tangere																												1		3.5	2	2
H	Juncus filliformis												2			1															2.5	3	5
H	Juncus trifidus L.					1		+								1															1.5	4	5
H	Juniperus communis subsp. nana (S)+k (= alpina)						1	1						3									r								1.5	4	4
H	Knautia dipsacifolia Kreutzer	+																								r			r	+	3	3	3
H	Lathyrus pratensis		1																												3.5	3	3
H	Leontodon hispidus L.					r		3		+	1	2			r	1	1	+	2	1		1	2		1						3	3	4
H	Leucanthemum ircutianum (L. vulgare (Vaill.) Lam. agg.				r							2	+			2			2	1							+		1		3.5	3	4
H	Lilium bulbiferum				r																										3	4	4
H	Linum catharticum L.											+				+							r		+						4	3	3
H	Loiseleuria = Kalmia procumbens (L.) Desv.					5	1	1						2			3														1.5	4	5
H	Lolium perenne																								+						4	3	4
H	Lonicera nigra																				+										3	3	2
H	Lotus corniculatus (inkl. alpinus)		+	1	1		1			1									+	1			1	1	1		+			+			4
H	Luzula alpina							1						1								1		1	+		1				1.5	3	4
H	Luzula alpino-pilosa									+						2														1	1	2	4
H	Luzula campestris(L.) DC.																1		1	2													3
H	Luzula luzulina																				1										2.5	2	1
H	Luzula luzuloides subsp. luzuloides																				+										3.5	3	3
H	Luzula luzuloides subsp. rubella																			3		2			1						2.5	3	3
H	Luzula pilosa	+																													3	3	2
H	Luzula sylvatica (Huds.) Gaudin	+																														2	2
H	Lycopodium annotinum aggr.	+																										1		+	2.5	2	1
H	Maianthemum bifolium (L.) F. W. Schmidt	1																			3								1	1	3	3	1
H	Medicago lupulina L.																						1								4	3	3
H	Melampyrum pratense L.																											+		1	3	4	3
H	Melampyrum sylvaticum L.	3																			1		r							1	2.5	3	2
H	Melica nutans	1																												1	4	4	2
H	Molinia caerulea															1								2							3	3	4
H	Mutellina adenidifolia = Ligusticum mutellina (L.) Crantz					1	1		1	2				+			1														1.5	2	4
H	Myosotis decumbens (sylvatica agg.)																												1		2	3	3
H	Myosotis scorpioides L.											r				2															3	2	3
H	Nardus stricta L.						2						1	1		2				2		2	+		2						2.5	3	4
H	Neottia nidus-avis																											r			4	3	1
H	Neottia ovata = Listera ovata				+																		+			1			+		3	3	3
H	Nigritella nigra																										1				1.5	3	4
H	Orchis ustulata			+																											2.5	4	2
H	Orthilia secunda																											+			2.5	4	2
H	Oxalis acetosella L.	1																			3							1	+	1	3	3	1
H	Paris quadrifolia	1																											1		3	3	2
H	Parnassia palustris							+										+						1							2	3	4
H	Pedicularis oederi							1																							1.5	4	4
H	Pedicularis rostratocapitata Crantz						1	2			1							r													1.5	4	4
H	Pedicularis tuberosa																			+		1									1.5	3	4
H	Peucedanum ostruthium											r																		r	2	3	3
H	Phleum hirsutum		+							r										r		1					1				2	3	4
H	Phleum pratense											2							+				+								3.5	3	4
H	Phyteuma betonicifolium				+																								r		2	3	3
H	Phyteuma hemisphaericum L.																r														1.5	3	4
H	Phyteuma orbiculare L.			1	1				+		r				1				1			+					+					3	4
H	Picea abies (L.) H. Karst.	+		+	r															+	1									1	2.5	3	1
H	Pimpinella major (L.) Huds.		1		1															1		1					+		+		3.5	2	3
H	Pimpinella saxifraga																													r	4	4	4
H	Pimpinella sp.																										r						
H	Pinguicula alpina L.										+				1			1													2	3	4
H	Pinguicula vulgaris															+								1							3	3	4
H	Plantago lanceolata L.											1				1			1			1	1		1		2					4	4
H	Plantago media																										1				3.5	4	4
H	Platanthera bifolia																											r			3.5	3	3
H	Poa alpina L.						1			1																					1.5	3	4
H	Poa pratensis aggr.											1													+				2		3		4
H	Poa trivialis		1																												3	3	3
H	Polygala alpestris Rchb.							1														1	+	+	1						2	3	4
H	Polygala chamaebuxus L.	+																				1					1	1		1	2.5	3	3
H	Polygala vulgaris																		+			1					+				3.5	4	4
H	Polygonatum odoratum			1																											3	4	3
H	Polygonatum verticillatum	1	1																												3	2	2
H	Potentilla anserina																												1		3	3	4
H	Potentilla aurea L.					1	1			1							1		1	1			+		1		2	+			1.5	3	4
H	Potentilla erecta (L.) Raeusch.	1		2	1								1			2			1	1		1		1	1		2	1	1	1	3	3	3
H	Prenanthes purpurea	1																			1										3	3	2
H	Primula auricula										1																				1.5	3	4
H	Primula farinosa							r			1					r															2	4	4
H	Primula minima							1																							1.5	3	4
H	Primula veris																												+		3	4	4
H	Pritzelago alpina = Hornungia= Hutchinsia alpina																	+													1	2	5
H	Prunella vulgaris L.											1				1			1			1	1		1	+	1		1	r		3	4
H	Pseudorchis = Leucorchis albida																											r			2	2	4
H	Pulsatilla vernalis						+	r																							2	4	4
H	Ranunculus acris L.		+		1							2				1			1	+				+		1		r	1		3	4	3
H	Ranunculus alpestris L.							1	+	+	1				1			2													1.5	2	4
H	Ranunculus nemorosus aggr. (incl. montanus)	1			1		1	1	+						1		r			+		1			1					1	3	3	3
H	Rhinanthus glacialis Personnat (=aristatus)											2	+			1			1					+							2.5	4	4
H	Rhinanthus minor																			+		+					1				3	3	4
H	Rhododendron hirsutum (auch Str.)								r		+				3													3			2	2	3
H	Rubus idaeus L.																				r								+		3	3	3
H	Rubus saxatilis L.	1																													3	3	2
H	Rumex arifolius inkl. acetosa? ALL.		1							+		1								r						r							4
H	Salix reticulata														1																1.5	2	4
H	Salix serpillifolia								r						+			2													1	4	5
H	Salix sp.				r				r																								
H	Saxifraga aizoides																	1													2	2	4
H	Saxifraga caesia L.										1							1													1.5	4	5
H	Scabiosa columbaria																										+				4	4	2
H	Scabiosa lucida			1					1		r											1					1				1.5	4	4
H	Selaginella selaginoides (L.) Schrank & Mart.						r	1	1		1				2			1						+							2	3	3
H	Senecio nemorensis aggr. (ovatus)																												1		3		3
H	Sesleria caerulea = albicans = varia (Jacq.) Wettst.	1		2	1			2	1	1	1			1	1			2		+			+				3				2	4	4
H	Silene acaulis (L.) Jacq.							1	r						1			1													1	3	5
H	Silene dioica																									+			+		3	3	3
H	Silene vulgaris (Moench) Garcke		+																													4	4
H	Soldanella alpina L.								1	+					1			1													2	2	4
H	Soldanella pusilla																					+					1				2	1	5
H	Sorbus aria	r																													3	3	2
H	Sorbus aucuparia L.	1																			1									1	3	3	3
H	Sorbus chamaemespilus	+																													2	2	3
H	Stellaria graminea																			1									+		4	3	3
H	Stellaria nemorum																												1		2.5	2	2
H	Succisa pratensis Moench																							1							3	3	3
H	Taraxacum officinalis agg. 											+											+			+			+		4		
H	Thalictrum aquilegiifolium																												+		2.5	3	3
H	Thalictrum minus				+																											4	4
H	Thesium alpinum			1	1			+	+		r				1							1	+				+				2	3	4
H	Thymus praecox			1	+			+	1		+									1		1	1		1		2				4.5	5	5
H	Thymus pulegioides																			1											3	4	4
H	Tofieldia calyculata (L.) Wahlenb.										+					1								1			+	+			2.5	3	4
H	Tofieldia pusilla (Michx. Fil.) Pers.								+									+													1.5	3	4
H	Trifolium montanum				1															2		2	+				1				3	4	4
H	Trifolium pratense L.		1		1			+		1		2	+			1			2	+			1	+	1	r			1	+	3.5	3	4
H	Trifolium repens											2				2			2	1			+		1					+	3	3	4
H	Trisetum flavescens (L.) P. Beauv.											2				1																3	4
H	Trollius europaeus L.			+			1	1	+	+					1	1				2		2									2.5	3	4
H	Urtica dioica																												1		3	3	3
H	Vaccinium myrtillus L.	3					2			2				3	2					1	2	1			+			2		3	2.5	3	2
H	Vaccinium uliginosum agg. (gaultherioides)						2				1			2	1		3			1		+						1			1.5	3	3
H	Vaccinium vitis-idaea L.	1				2	1	2			1			1			2						1	r	1			1		1	2.5	3	3
H	Valeriana officinalis aggr.																								1								3
H	Valeriana saxatilis								+		1																				2.5	3	4
H	Veronica chamaedrys L.		1																				+		1	1			1		3	3	3
H	Veronica officinalis	r																					1		1					+	3	3	3
H	Veronica urticifolia																												1		2.5	3	3
H	Vicia cracca		1																							+					3.5	3	3
H	Vicia sepium																												+		3.5	3	3
H	Viola biflora L.	1																										1	1		2	3	2
H	Viola palustris L.												1			1															3	2	3
H	Viola reichenbachiana																													r	3	2	2
H	Willemetia = Calycocorsus stipitata (Jacq.) Dalla Torre															2															2.5	2	4
M	Abietinella abietina																					1			1		1				3	3	4
M	Acrocladium cuspidatum															+															3	3	4
L	Alectoria ochroleuca (Hoffm.) Massal.					1		1									1														1	4	5
M	Aulacomnium palustre																							1							3	3	4
M	Barbilophozia sp.	+																												+			
M	Bazzania trilobata																				1										3	2	1
M	Blepharostoma trichophyllum														1															1	2	2	2
M	Brachythecium sp.		p							+					1														p				
M	Bryopsia sp.																											1					
M	Bryum argenteum																								r						4	3	4
